id,chamfer,emd,f1,tau
02691156,0.00021013,0.04062309,0.96789625,0.02627923
02747177,0.00088061,0.08745969,0.47673884,0.02422611
02773838,0.00461423,0.10548100,0.38702828,0.02231866
02801938,0.00098788,0.08194162,0.31413960,0.02021127
02808440,0.00062774,0.06838303,0.58019164,0.02385703
02818832,0.00043819,0.06912893,0.59849419,0.01997014
02828884,0.00470873,0.09801938,0.17226666,0.01973897
02843684,0.00074609,0.07167015,0.51319500,0.02098755
02871439,0.00038717,0.06358089,0.62939992,0.01996588
02876657,0.00042992,0.07097659,0.67459944,0.02178813
02880940,0.00065191,0.06980134,0.67679851,0.02720127
02924116,0.00037538,0.05741291,0.67452316,0.02031638
02933112,0.00107791,0.06767428,0.35983100,0.01800976
02942699,0.00027381,0.05512722,0.81579758,0.02107593
02954340,0.00035232,0.06420462,0.84349473,0.02462257
02958343,0.00065331,0.06392165,0.46599450,0.02111013
02992529,0.00033645,0.06724513,0.72956572,0.02086564
03001627,0.00016466,0.04935048,0.88348765,0.01782651
03046257,0.00025660,0.04997367,0.76415897,0.01903171
03085013,0.00085846,0.08865327,0.71889262,0.01973064
03207941,0.00093387,0.08435975,0.27261899,0.02014222
03211117,0.00095397,0.08632590,0.46421397,0.01963972
03261776,0.00044941,0.07111140,0.67819945,0.02236214
03325088,0.00009306,0.05080963,0.98339992,0.01909215
03337140,0.00085523,0.09418891,0.30708650,0.02006605
03467517,0.00008153,0.02890925,0.98339849,0.01813629
03513137,0.00094449,0.08362228,0.48495248,0.02718049
03593526,0.00014754,0.04540135,0.97849874,0.02239659
03624134,0.00003010,0.02397612,1.00000000,0.01801247
03636649,0.00029166,0.05717490,0.79317775,0.02095627
03642806,0.00029631,0.05796867,0.73185865,0.01945599
03691459,0.00826377,0.13592605,0.09682477,0.01988724
03710193,0.00046814,0.09070474,0.50658665,0.01917929
03759954,0.00015196,0.03193436,0.75199976,0.01440301
03761084,0.00285800,0.08424960,0.31657522,0.01843030
03790512,0.00034179,0.04970329,0.79638868,0.02279694
03797390,0.00047323,0.07100379,0.67969668,0.02325624
03928116,0.00043963,0.07074741,0.71707678,0.02362917
03938244,0.00042174,0.06137635,0.59053490,0.01988966
03948459,0.00015548,0.03460247,0.87337978,0.01798778
03991062,0.00073087,0.09403520,0.59429958,0.02594024
04004475,0.00077564,0.07655019,0.59406169,0.02219804
04074963,0.00022700,0.04540388,0.83115950,0.01988297
04090263,0.00008285,0.03462306,0.98579960,0.01859211
04099429,0.00005232,0.02805735,0.99539934,0.01663378
04225987,0.00027432,0.04689375,0.81873280,0.02073786
04256520,0.00151658,0.08326320,0.27339765,0.01956224
04330267,0.00057391,0.07238455,0.46419689,0.01910759
04379243,0.00051387,0.07701749,0.78567860,0.02760367
04401088,0.00047899,0.06265489,0.65779847,0.02088596
04460130,0.00046131,0.09298326,0.54363434,0.01870538
04468005,0.00084249,0.05962374,0.61024404,0.02069240
04530566,0.00032462,0.05222842,0.77065782,0.02002699
